framework,category,threat_covered,maturity,usability,scalability,performance_notes,real_world_adoption,provenance,example_reference
Opacus,Differential Privacy,"Membership inference; gradient leakage; general DP use",High,"High (PyTorch-native)","High (GPU-friendly)","Low per-iteration overhead with Opacus hooks; easy integration with PyTorch training loops","Used in industry research & prototypes",tool_doc,"https://opacus.ai"
TensorFlow Privacy (TFP),Differential Privacy,"Membership inference; statistical query privacy",High,"Medium (TF idioms)","High (TPU/TP-friendly)","Good optimizer support for TF; requires TF idioms in code","Used in ML production pipelines (TF-heavy orgs)",tool_doc,"https://github.com/tensorflow/privacy"
Flower,Federated Learning,"Data exfiltration via model updates; poisoning",Medium-High,"High (framework-agnostic)","High (designed for FL)","Lightweight server-client orchestration; integrates with PyTorch/TF","Used in FL research and prototypes (multiple orgs)",tool_doc,"https://flower.dev"
FATE (WeBank),"Federated Learning + SMPC","Gradient leakage; secure aggregation; some poisoning mitigations",Medium,"Medium (enterprise stack)","Medium-High (enterprise deployments)","Enterprise feature set; heavier infra requirements","Used in enterprise deployments (finance)",tool_doc,"https://fate.fedai.org"
CrypTen,Secure MPC,"Gradient leakage; model secrecy; prevention of raw-data exposure",Medium,"Medium (PyTorch-based)","Medium (MPC overhead)","Significant computation & communication overhead; good for research/private inference","Used mainly in research and private-inference prototypes",tool_doc,"https://github.com/facebookresearch/CrypTen"
Microsoft SEAL,Homomorphic Encryption,"Data confidentiality for inference (no model leakage protection alone)",High,"Low-Medium (C++/bindings)","Low-Medium (HE is expensive)","High computation & memory costs for HE; smaller models/primitives more feasible","Used in research and some production secure-inference solutions",tool_doc,"https://github.com/microsoft/SEAL"
TenSEAL,"Homomorphic Encryption (seal bindings)","Confidential inference; some encrypted ops",Medium,"Medium (Python bindings)","Low-Medium (HE overhead)","Easier Python UX than raw SEAL; still HE performance constraints","Used in prototypes and research (Python-friendly)",tool_doc,"https://github.com/OpenMined/TenSEAL"
PySyft,"Privacy tooling (Federated + MPC + DP)","Federated learning, MPC, DP orchestration; variable coverage",Medium,"Medium (requires learning curve)","Medium (depends on backend)","Flexible stack for research & prototypes; evolving project","Used in research & community projects",tool_doc,"https://github.com/OpenMined/PySyft"
"Opacus+Flower (pattern)","DP + FL hybrid","Local DP in FL; mitigates central data leakage",Emerging,Medium,"High (FL scale)","Combines Opacus clipping/noise at client + Flower orchestration; tradeoffs in utility vs privacy","Pattern evaluated in literature and prototypes",paper_run,"(pattern: Flower + Opacus integration)"
"TFP + Federated (pattern)","DP + FL hybrid","Local DP for federated clients; membership risk reduction",Emerging,Medium,High,"TFP per-client DP with federated orchestration; commonly evaluated in literature","Pattern described in papers and demos",literature,"(pattern: TFP + federated orchestration)"
